City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,luganville,-15.5333,167.1667,24.9,82,87,1.38,VU,1684516238
339,mount pearl,47.5166,-52.7813,14.19,43,40,10.29,CA,1684515946
340,reyes,-14.3167,-67.3833,30.53,64,43,2.19,BO,1684516239
341,nizhniy kuranakh,58.8353,125.4869,2.57,99,98,1.94,RU,1684516239
342,lae,-6.7221,146.9847,24.37,94,100,0.8,PG,1684516240
343,ghanzi,-21.5667,21.7833,19.9,27,0,2.97,BW,1684516240
344,vilyuysk,63.7553,121.6247,-0.3,73,46,2.25,RU,1684515654
345,ketchikan,55.3422,-131.6461,12.26,94,100,2.57,US,1684516241
346,daru,-9.0763,143.2092,25.29,79,100,6.18,PG,1684516241
347,itamaraca,-7.7478,-34.8256,29.03,82,73,4.41,BR,1684516241
348,midvagur,62.0511,-7.1939,9.46,93,100,4.63,FO,1684516241
349,nadym,65.5333,72.5167,12.93,51,3,7.84,RU,1684516241
350,greenville,35.6127,-77.3663,18.09,99,100,3.6,US,1684516242
351,nagqu,31.5,92.0,1.18,97,100,0.82,CN,1684516242
352,broome,42.2506,-75.833,21.44,57,20,7.72,US,1684516242
353,cafayate,-26.073,-65.9761,21.67,38,31,2.33,AR,1684516242
354,nguigmi,14.2495,13.1092,35.09,29,35,4.86,NE,1684516242
355,mangrol,21.1167,70.1167,28.3,83,0,6.79,IN,1684516243
356,nova sintra,14.8667,-24.7167,20.5,79,63,9.36,CV,1684516243
357,kiama,-34.6833,150.8667,10.56,74,0,1.34,AU,1684515994
358,prachatice,49.0129,13.9975,14.93,83,100,4.31,CZ,1684516243
359,mbandaka,0.0487,18.2603,25.84,75,95,1.86,CD,1684516244
